index,entry,name,equation,enzyme,equation_no_coeff
0,rn:R00001,polyphosphate polyphosphohydrolase,C00404 + n C00001 <=> (n+1) C02174,3.6.1.10,C00404+C00001<=>C02174
1,rn:R00002,Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139,1.18.6.1,C00002+C00001+C00138<=>C05359+C00009+C00008+C00139
2,rn:R00004,diphosphate phosphohydrolase;||pyrophosphate phosphohydrolase,C00013 + C00001 <=> 2 C00009,3.6.1.1,C00013+C00001<=>C00009
3,rn:R00005,urea-1-carboxylate amidohydrolase,C01010 + C00001 <=> 2 C00011 + 2 C00014,3.5.1.54,C01010+C00001<=>C00011+C00014
4,rn:R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating);||2-acetolactate pyruvate-lyase (carboxylating),C00900 + C00011 <=> 2 C00022,2.2.1.6,C00900+C00011<=>C00022
5,rn:R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),C06033 <=> 2 C00022,4.1.3.17,C06033<=>C00022
6,rn:R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2 C00027 <=> C00007 + 2 C00001,"1.11.1.6,1.11.1.21",C00027<=>C00007+C00001
7,rn:R00010,"alpha,alpha-trehalose glucohydrolase",C01083 + C00001 <=> 2 C00031,3.2.1.28,C01083+C00001<=>C00031
8,rn:R00011,Mn(II):hydrogen-peroxide oxidoreductase,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,"1.11.1.13,1.11.1.16",C19610+C00027+C00080<=>C19611+C00001
9,rn:R00012,GTP:GTP guanylyltransferase,2 C00044 <=> C00013 + C01261,2.7.7.45,C00044<=>C00013+C01261
10,rn:R00013,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),2 C00048 <=> C01146 + C00011,4.1.1.47,C00048<=>C01146+C00011
11,rn:R00014,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),C00022 + C00068 <=> C05125 + C00011,"1.2.4.1,2.2.1.6,4.1.1.1",C00022+C00068<=>C05125+C00011
12,rn:R00015,sucrose:sucrose 1'-beta-D-fructosyltransferase;||sucrose:sucrose 1F-beta-D-fructosyltransferase,2 C00089 <=> C00031 + C03661,2.4.1.99,C00089<=>C00031+C03661
